Date,Nom,Clé du QCM,Note,Réponses
"2020-10-21 14:31:37",234085,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,11.72,42;D;48;C;62;C;68;0;70;C;71;C;72;D;87;A;90;A;95;D;109;D;110;C;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;A;157;0;158;0;168;A;169;0;170;A;171;D;180;D;322;B;381;C;387;A;397;A;463;0;652;0
"2020-10-21 15:02:46",234085,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-25 12:44:48",229079,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,17.17,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;D;157;A;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;A;397;A;463;B;652;B
"2020-10-25 20:58:49",227078,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,7.27,42;D;48;C;62;C;68;D;70;C;71;C;72;A;87;A;90;A;95;D;109;C;110;0;111;B;113;B;121;B;123;B;131;D;134;D;135;D;146;A;157;D;158;0;168;0;169;B;170;A;171;B;180;D;322;B;381;C;387;A;397;0;463;D;652;0
"2020-10-28 15:14:22",237090,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,4.24,42;0;48;0;62;C;68;A;70;C;71;B;72;0;87;0;90;0;95;0;109;0;110;0;111;C;113;B;121;D;123;B;131;C;134;0;135;0;146;0;157;0;158;0;168;0;169;0;170;0;171;0;180;0;322;B;381;0;387;0;397;0;463;0;652;0
"2020-10-28 15:54:15",237090,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.39,42;D;48;B;62;C;68;A;70;C;71;B;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-28 23:16:28",235087,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,8.89,42;D;48;D;62;C;68;B;70;C;71;C;72;D;87;A;90;C;95;0;109;D;110;B;111;C;113;B;121;B;123;B;131;C;134;D;135;0;146;0;157;0;158;0;168;A;169;0;170;0;171;D;180;D;322;0;381;C;387;0;397;0;463;0;652;0
"2020-10-28 23:35:20",235087,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.19,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;B;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-29 16:05:23",240094,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,12.32,42;D;48;D;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;C;109;C;110;D;111;B;113;B;121;B;123;B;131;C;134;D;135;D;146;A;157;B;158;C;168;A;169;B;170;D;171;C;180;D;322;B;381;C;387;B;397;A;463;B;652;D
"2020-10-29 16:54:49",240094,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.39,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;0;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-29 17:13:11",240094,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.39,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;A;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-29 17:23:01",240094,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-30 10:45:06",226077,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,13.33,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;B;109;D;110;C;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;B;157;A;158;C;168;A;169;B;170;C;171;D;180;D;322;B;381;C;387;A;397;A;463;0;652;B
"2020-10-30 10:58:01",226077,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-30 12:37:27",232082,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,6.46,42;B;48;B;62;D;68;B;70;C;71;C;72;D;87;A;90;A;95;D;109;B;110;C;111;B;113;B;121;D;123;D;131;A;134;B;135;D;146;A;157;A;158;A;168;C;169;C;170;A;171;D;180;D;322;B;381;C;387;C;397;A;463;C;652;D
"2020-10-30 12:57:57",232082,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-30 13:23:55",223076,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.39,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;B;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-30 13:24:01",233083,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,17.58,42;0;48;B;62;C;68;A;70;0;71;C;72;D;87;0;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;A;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-30 13:27:32",227078,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,0,42;0;48;0;62;0;68;0;70;0;71;0;72;0;87;0;90;0;95;0;109;0;110;0;111;0;113;0;121;0;123;0;131;0;134;0;135;0;146;0;157;0;158;0;168;0;169;0;170;0;171;0;180;0;322;0;381;0;387;0;397;0;463;0;652;0
"2020-10-30 13:45:26",233083,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-30 15:48:11",228078,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,12.53,42;D;48;A;62;C;68;C;70;D;71;C;72;D;87;A;90;A;95;A;109;B;110;C;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;D;157;B;158;D;168;A;169;A;170;D;171;D;180;D;322;B;381;C;387;B;397;A;463;D;652;C
"2020-10-30 16:05:13",228078,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-30 16:20:03",231081,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,11.72,42;B;48;A;62;C;68;A;70;C;71;C;72;D;87;A;90;B;95;A;109;D;110;D;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;D;157;0;158;D;168;A;169;B;170;B;171;D;180;D;322;A;381;C;387;B;397;A;463;0;652;A
"2020-10-30 16:32:39",231081,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,17.98,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;D;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;0;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;0;652;C
"2020-10-30 18:26:50",225077,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,8.69,42;D;48;0;62;C;68;C;70;C;71;C;72;D;87;A;90;B;95;0;109;0;110;0;111;B;113;B;121;B;123;D;131;C;134;D;135;0;146;0;157;D;158;0;168;0;169;0;170;0;171;D;180;D;322;B;381;C;387;0;397;C;463;0;652;0
"2020-10-30 18:40:10",238090,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,10.3,42;D;48;D;62;C;68;0;70;C;71;C;72;D;87;A;90;A;95;A;109;C;110;A;111;B;113;B;121;B;123;0;131;C;134;A;135;D;146;0;157;0;158;0;168;0;169;0;170;0;171;D;180;D;322;B;381;C;387;B;397;A;463;0;652;0
"2020-10-30 18:47:27",225077,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.39,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;0;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-30 18:56:22",225077,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-31 10:16:37",224076,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,7.07,42;A;48;C;62;C;68;A;70;D;71;B;72;D;87;A;90;0;95;D;109;A;110;B;111;B;113;B;121;B;123;D;131;D;134;A;135;D;146;A;157;B;158;0;168;A;169;0;170;0;171;D;180;D;322;B;381;D;387;B;397;A;463;C;652;A
"2020-10-31 10:23:33",224076,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,7.07,42;A;48;C;62;C;68;A;70;D;71;B;72;D;87;A;90;0;95;D;109;A;110;B;111;B;113;B;121;B;123;D;131;D;134;A;135;D;146;A;157;B;158;0;168;A;169;0;170;0;171;D;180;D;322;B;381;D;387;B;397;A;463;C;652;A
"2020-10-31 10:39:30",224076,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.39,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;0;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-31 18:21:42",230080,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,0,42;0;48;0;62;0;68;0;70;0;71;0;72;0;87;0;90;0;95;0;109;0;110;0;111;0;113;0;121;0;123;0;131;0;134;0;135;0;146;0;157;0;158;0;168;0;169;0;170;0;171;0;180;0;322;0;381;0;387;0;397;0;463;0;652;0
"2020-10-31 19:09:52",230080,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-10-31 23:25:22",238090,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,18.59,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;B;180;0;322;B;381;C;387;C;397;A;463;B;652;C
"2020-11-01 03:28:52",241100,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,13.13,42;D;48;B;62;C;68;A;70;B;71;C;72;D;87;A;90;A;95;A;109;D;110;C;111;B;113;B;121;B;123;B;131;A;134;B;135;B;146;C;157;0;158;0;168;A;169;B;170;B;171;D;180;D;322;B;381;D;387;C;397;A;463;0;652;B
"2020-11-01 04:16:13",241100,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-11-01 13:39:34",238090,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.19,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;C;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-11-01 13:49:50",238090,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-11-01 18:08:19",221075,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,12.93,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;0;90;A;95;D;109;B;110;B;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;0;157;A;158;0;168;A;169;0;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;C;652;D
"2020-11-01 18:24:12",221075,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-11-01 21:00:49",239093,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,7.88,42;C;48;A;62;C;68;A;70;C;71;B;72;D;87;A;90;C;95;C;109;A;110;B;111;B;113;B;121;D;123;B;131;A;134;C;135;B;146;C;157;B;158;D;168;A;169;C;170;C;171;D;180;D;322;B;381;C;387;A;397;B;463;A;652;A
"2020-11-01 21:48:18",239093,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-11-01 21:58:51",236087,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,7.47,42;D;48;B;62;C;68;D;70;C;71;B;72;D;87;A;90;D;95;D;109;A;110;D;111;B;113;B;121;D;123;B;131;0;134;B;135;B;146;0;157;0;158;D;168;A;169;C;170;A;171;D;180;D;322;B;381;D;387;A;397;B;463;C;652;C
"2020-11-01 22:33:43",236087,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,20,42;D;48;B;62;C;68;A;70;C;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
"2020-11-02 07:32:41",222222,1;6;12;13;14;18;19;20;21;22;26;27;41;42;43;44;46;49;59;60;62;64;66;69;72;90,3.08,1;0;6;0;12;A;13;0;14;0;18;A;19;B;20;D;21;A;22;C;26;C;27;A;41;C;42;D;43;B;44;A;46;0;49;0;59;0;60;0;62;0;64;0;66;0;69;0;72;0;90;0
"2020-11-02 16:53:06",010101,1;6;12;13;14;18;19;20;21;22;26;27;41;42;43;44;46;49;59;60;62;64;66;69;72;90,18.46,1;B;6;B;12;D;13;A;14;C;18;B;19;D;20;A;21;D;22;C;26;D;27;D;41;D;42;D;43;B;44;C;46;B;49;A;59;A;60;A;62;C;64;A;66;A;69;C;72;D;90;A
"2020-11-02 16:57:31",11111,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,0,42;0;48;0;62;0;68;0;70;0;71;0;72;0;87;0;90;0;95;0;109;0;110;0;111;0;113;0;121;0;123;0;131;0;134;0;135;0;146;0;157;0;158;0;168;0;169;0;170;0;171;0;180;0;322;0;381;0;387;0;397;0;463;0;652;0
"2020-11-02 17:05:45",55555,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,0,42;0;48;0;62;0;68;0;70;0;71;0;72;0;87;0;90;0;95;0;109;0;110;0;111;0;113;0;121;0;123;0;131;0;134;0;135;0;146;0;157;0;158;0;168;0;169;0;170;0;171;0;180;0;322;0;381;0;387;0;397;0;463;0;652;0
"2020-11-02 17:50:54",4444,42;48;62;68;70;71;72;87;90;95;109;110;111;113;121;123;131;134;135;146;157;158;168;169;170;171;180;322;381;387;397;463;652,19.39,42;D;48;B;62;C;68;A;70;D;71;C;72;D;87;A;90;A;95;A;109;D;110;A;111;B;113;B;121;B;123;B;131;C;134;D;135;B;146;C;157;B;158;B;168;A;169;B;170;D;171;D;180;D;322;B;381;C;387;C;397;A;463;B;652;C
